Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Global.cp total import to from[Maize, EU27, Russia]",0,0,123.020356622,0,0,0,267.619929931,0,0,0,0,253.244810075,501.817118317,743.949892204,922.355345136,1076.63468197,1229.25640836,1382.507783,1553.87980349,1740.21052771,1935.34385059,1697.62699588,1479.38664537,1297.47780389,1162.89056721,1069.34181816,998.471475651,933.480077384,868.862817242,693.872049373
"Global.cp total import to from[Maize, EU27, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, INDIA]",0,0,0,0,0,0,0,0,0,0,0,6.33708701339,10.0401442445,10.971478596,8.99357726156,5.77666713718,1.55741386521,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, EU27, OCEANIA]",0,0,10.5202151481,0,0,0,38.9733403594,0,0,0,0,40.4970983021,82.6632981551,124.986490703,155.216334521,181.746910391,209.475837661,237.719228516,268.235102913,302.007141986,338.35330276,290.5179021,243.459730356,207.021772328,182.543209734,165.339671091,151.699048577,139.168560246,126.822344569,98.5821258368
"Global.cp total import to from[Maize, OthCEECIS, CAN]",0,0,0,45.6534026234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, Russia]",0,0,0,40.6827996324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, OthCEECIS, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, CAN]",0,1496.28133465,1993.54497269,2399.15486889,2854.10255998,2997.95115449,2957.80169757,3387.24888562,2648.71380311,2598.18403324,3966.05489255,3926.41832661,3896.99768784,3910.31360205,3997.53660682,4102.38521191,4160.01003896,4169.44722988,4118.88468862,4039.11744666,3943.88502055,4184.65496076,4247.89520557,4315.72911764,4411.02326235,4474.61454004,4501.82184518,4516.19491085,4518.549097,4616.0042506
"Global.cp total import to from[Maize, MEASNAfr, USA]",8193.32737612,9800.91339807,10178.5626094,12411.7986313,13094.7915754,14637.318438,15565.6995407,17276.4016043,16894.41868,12570.2757189,16184.535019,17799.7632153,18766.2821035,19729.1662061,20581.329395,21424.7710639,22291.2340375,23237.0738805,24153.9761597,25066.0231807,25981.7240102,27813.3679353,28464.9608118,29027.6944917,29781.1174148,30534.2370771,31257.9979869,31990.3815573,32700.7588629,33282.75113
"Global.cp total import to from[Maize, MEASNAfr, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, Brazil]",117.015766169,182.53881992,231.36203366,313.001426947,479.707763902,335.087032869,371.849674541,804.41647574,1022.92505084,907.453955142,1123.00119561,1233.76133138,1322.88048105,1410.27812052,1496.28372303,1586.37355227,1680.69049418,1779.98937964,1876.81611444,1972.89615616,2065.42084402,2152.6040558,2161.59333067,2193.67738087,2251.68810353,2312.93884875,2373.2184556,2434.87504345,2494.85195445,2550.92775199
"Global.cp total import to from[Maize, MEASNAfr, SOAmer]",2381.44738825,2069.35768638,1911.26286917,1652.22440559,1823.20415169,1656.44836704,1625.84648979,2086.58152403,1986.48698681,1976.92494864,1955.30051128,1782.92225338,1704.05994894,1692.32889325,1691.71452954,1694.85052023,1695.94624268,1706.89260194,1719.56667245,1734.40214955,1752.13666294,1803.14808912,1837.21878796,1878.55262494,1917.96649299,1945.82165603,1968.77466519,1993.07257641,2017.69866303,2031.13537975
"Global.cp total import to from[Maize, MEASNAfr, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, EU27]",477.846604252,1464.22574232,0,1858.61186551,2331.03560055,1464.60965254,0,514.444352837,867.658148142,458.527692594,1.86421877132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, OthCEECIS]",234.926363245,329.53108975,185.847615624,0,610.486375525,1014.49886267,736.012597018,984.794449182,1505.34686129,1755.66373173,1580.37417322,1539.63436067,1640.25328718,1787.74009529,1936.84648384,2107.22259934,2395.66217919,2559.20374868,2661.5198666,2758.46076097,2860.52189383,2972.23928035,2953.63988124,2908.24695641,2878.58053928,2893.67275208,2929.82149638,2967.74682553,3001.03947523,2948.11807503
"Global.cp total import to from[Maize, MEASNAfr, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, Russia]",821.166300423,1565.59118975,2676.87459432,3105.23037968,3358.14111856,3055.19579571,2064.3764113,3241.58727225,3704.86621478,3529.3337714,3699.10651481,3992.89948957,4153.7620677,4299.67255787,4465.9247506,4644.56068468,4829.42552433,5015.49167856,5192.60225749,5361.14591989,5522.27027865,5881.95643132,6111.28906095,6364.46706073,6630.35343838,6879.89170151,7122.29724531,7364.17789605,7603.39100706,7876.06891636
"Global.cp total import to from[Maize, MEASNAfr, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, INDIA]",1735.50597128,1203.92667785,243.526935337,168.777964909,404.18985376,228.585553127,241.948085676,577.68215475,657.737436928,0,496.289366696,526.039364272,451.693948158,352.104358082,249.497091749,147.010054244,37.1410857537,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, RSASIA]",0,0,0,0,0,0,0,0,0,9.11576248212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, RSEASIA]",0,44.4519929351,228.759737201,87.0274401013,0,0,0,74.7091430878,159.693686103,180.444227237,190.370491229,78.6278494055,11.0107892803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, MEASNAfr, OCEANIA]",697.131345933,568.251093899,562.236642551,584.108671983,602.762640509,522.515670744,537.721455562,685.785383917,564.500381247,542.981020881,681.009150769,742.83734031,784.176461379,821.992216761,852.822933784,888.849882116,932.471269471,976.633104556,1014.65277614,1052.80560777,1092.02680239,1138.43090064,1139.20557892,1148.65778522,1173.77730627,1198.1488743,1219.19000497,1238.49448471,1254.69844801,1257.78232645
"Global.cp total import to from[Maize, SSAFR, CAN]",0,15.4855063522,106.557095712,212.746446757,330.652346319,323.935361652,317.700494544,292.293973513,225.909540143,228.542389755,403.635736226,410.546253494,421.546064932,428.176444088,440.671699269,455.295724987,463.939981327,467.995817329,465.54715113,459.649780938,451.59283034,480.613842692,492.828282637,504.352570118,519.555150872,532.801967271,542.172172531,549.93099242,556.253590942,592.941450077
"Global.cp total import to from[Maize, SSAFR, USA]",614.988345289,2038.15875774,3131.81269026,4274.78358214,5025.17097534,5229.96924067,5893.59541787,5239.69861637,5062.64076294,3887.45861304,5609.72003206,6516.64947424,7107.78185064,7563.41233811,7942.46416929,8323.69500894,8702.37652917,9129.87343822,9555.63201905,9982.75616654,10409.2902235,11174.9929628,11552.2939344,11866.5678651,12270.5828689,12718.2943349,13168.6632503,13626.566041,14081.9356979,14955.4293031
"Global.cp total import to from[Maize, SSAFR, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, Brazil]",0,0,0,0,20.0853004564,3.0506401339,3.57072244456,22.0894447539,101.906786306,55.7436120297,79.0743765058,90.3141164507,100.172220893,108.074048547,115.415689435,123.184989183,131.140686444,139.776573916,148.391524935,157.022540698,165.358647994,172.828106716,175.304261717,179.203915996,185.393650327,192.516717337,199.793221772,207.255554106,214.689963768,229.055610053
"Global.cp total import to from[Maize, SSAFR, SOAmer]",210.534201706,691.375554969,868.026271587,816.689966668,981.886312628,827.343835179,856.593259912,895.868408276,834.657509482,858.079449185,951.869564176,916.751543327,906.655579969,911.725238541,917.677789266,925.67552551,930.807163303,942.89558691,956.54396776,971.373110744,987.320741059,1019.10894839,1048.90174372,1080.32654686,1111.69284416,1140.15704433,1166.7999056,1194.29068974,1222.30963757,1283.91431897
"Global.cp total import to from[Maize, SSAFR, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, EU27]",0,0,0,58.5985358528,150.962720283,57.5404299891,0,17.4122839222,28.6925693684,15.631819272,0.0709944135069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, OthCEECIS]",0,0,0,0,71.8560259265,145.59001099,92.1414713767,91.0216139501,221.797672897,284.485026288,271.308624468,279.181164258,307.723034779,339.492685518,370.240690759,405.511488091,471.767470821,504.685554979,526.815477264,549.621438729,573.337308144,597.433246572,599.700664347,594.793102552,593.370351238,602.997022531,617.512348439,632.437976081,646.548310026,662.740971539
"Global.cp total import to from[Maize, SSAFR, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, Russia]",23.0506888246,82.5331488695,211.895389572,334.910418582,418.196631359,341.742155515,243.900457165,307.290209784,410.899506726,377.782290016,444.091121278,506.326756373,544.927767592,570.964550301,597.000247373,625.074151994,653.111880358,682.633532408,711.623713573,739.645306675,766.445266582,818.722693591,862.775561453,918.557645798,974.250393018,1030.86079177,1087.65764728,1145.86376511,1206.31886176,1318.29885633
"Global.cp total import to from[Maize, SSAFR, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, INDIA]",97.5649758528,243.767332,49.8389328224,34.9063569735,87.8986456808,45.303964918,50.52429762,83.8380934295,111.345059748,0,103.500224351,112.706406549,96.7879726797,76.3914508027,54.5186226381,32.3533361242,8.21561972731,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, RSASIA]",0,0,0,0,0,0,0,0,0,1.56880267014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, RSEASIA]",0,0,0,0,0,0,0,0.178333181172,20.6638186149,26.2631922818,29.614605746,12.9205854334,1.87345824281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, SSAFR, OCEANIA]",115.992702082,382.522954148,608.693346721,786.723085649,900.785349274,726.837934729,789.04997912,796.142242644,655.163582382,650.182784153,914.607347397,1053.79206693,1150.83048533,1220.97289996,1275.16768677,1337.99625186,1410.47400398,1486.74960317,1555.27902117,1624.54188665,1695.1258298,1772.24237237,1791.39330529,1819.43544075,1873.88889987,1933.68946081,1990.15120053,2044.0677484,2093.52634658,2189.8628794
"Global.cp total import to from[Maize, Russia, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, Russia, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, CAN]",0,216.785869768,342.689154714,730.356996923,726.282538467,1031.85259697,986.979212869,692.564849553,472.79889625,459.649120355,1238.6732289,1554.68086872,1773.26651178,1928.29210215,2075.3963345,2206.24860214,2287.07389282,2328.95360778,2325.3449717,2293.93939833,2244.13139804,2356.19469225,2377.13333776,2383.80548996,2396.97584575,2393.27718908,2368.96142217,2337.88319823,2302.32437537,2341.2018017
"Global.cp total import to from[Maize, CHIHKG, USA]",591.055304574,2610.68277185,3237.68604018,6146.35597408,5547.6494282,7885.75984692,8237.60697566,5634.67372508,4799.73497003,3540.96615607,8041.29710369,11279.218322,13665.7931945,15561.7941998,17082.9813252,18415.1243862,19581.5991329,20733.1023845,21774.1049109,22721.2019215,23584.248738,24975.2219265,25403.3359209,25570.8662093,25809.9987977,26046.403184,26233.2263269,26410.9989259,26572.4695317,26921.0488089
"Global.cp total import to from[Maize, CHIHKG, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, Brazil]",671.88009608,706.99598543,798.092999724,1649.10373327,1751.4815696,1836.07052139,1995.25310915,1491.90893095,1388.85397565,1549.96588119,3344.78559868,4696.4993098,5779.68148547,6668.77515587,7441.96955197,8167.74861358,8841.560408,9508.91147602,10127.9578996,10703.4539545,11219.4516907,11566.7737182,11543.7223184,11563.5415457,11677.1728733,11806.1172164,11918.1999884,12028.8558724,12131.108413,12346.7182322
"Global.cp total import to from[Maize, CHIHKG, SOAmer]",202.3409999,668.877559026,693.146904249,910.440317313,843.319221509,969.459227901,932.05329062,750.678162668,616.493771959,607.85316485,1058.74393651,1234.13173688,1359.0492217,1464.94378864,1543.115176,1602.39880024,1639.80822507,1677.23435634,1707.94113887,1732.90032359,1753.69872669,1785.7404137,1808.32391222,1825.06463866,1833.17941638,1830.54388169,1822.23767014,1814.7256787,1808.24881843,1811.94183086
"Global.cp total import to from[Maize, CHIHKG, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, EU27]",0,0,0,87.0130283055,140.903035153,74.9512654182,0,16.2906267824,23.6666330801,12.4093682747,0.0899761274039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, OthCEECIS]",0,0,0,0,67.0609345585,263.626931734,145.473965707,108.899003932,235.393129099,274.480721883,411.054563471,511.365824668,626.718270803,740.103783754,843.657176078,950.213045254,1127.77841486,1216.00406326,1272.37457439,1325.75467813,1376.58266061,1414.94913217,1397.45675791,1358.15758602,1322.51139297,1308.5266368,1303.49186192,1298.89873913,1292.81467862,1264.20180078
"Global.cp total import to from[Maize, CHIHKG, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, Russia]",22.153642436,160.476388676,318.348403722,642.683568453,593.867935567,685.289222333,454.174549053,440.023076883,497.701308294,443.135928491,817.859019986,1126.22248146,1346.72145119,1510.38485112,1651.16846037,1778.44860009,1890.04638464,1993.78514315,2085.62788517,2165.32517978,2233.6420173,2353.62897607,2444.22631092,2558.20434796,2648.65851329,2726.75962732,2796.03981221,2862.83062039,2930.1823387,3047.62370006
"Global.cp total import to from[Maize, CHIHKG, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, INDIA]",93.7681127783,190.988874232,33.4608449168,33.0222856226,64.4126001152,45.3541462204,46.9999620598,61.0743046686,83.7850456121,0,119.564381984,154.468568742,142.41408928,120.447582248,90.0752896765,55.1578831473,14.3040327223,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, RSASIA]",0,0,0,0,0,0,0,0,0,1.45109192959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, RSEASIA]",0,0,0,0,0,0,0,0.166374387422,21.9420780923,24.4829714875,43.0199453547,22.7514820552,3.69799588543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, CHIHKG, OCEANIA]",111.478700991,415.733108022,546.427483891,977.899799008,860.253225338,946.676884526,954.211269647,741.232215254,537.687635162,512.567763413,1131.61719692,1573.2640451,1908.06698243,2166.08232931,2364.7855686,2552.28260114,2736.40711785,2910.87595011,3055.37002851,3187.72741115,3311.07722123,3414.72123033,3396.0581863,3379.91144148,3397.88861281,3413.87317658,3417.74172439,3415.38281238,3405.62745548,3398.3357877
"Global.cp total import to from[Maize, INDIA, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, OthCEECIS]",0,0,0,0,0,0,0,0,0,421.95496251,0,0,0,0,0,0,0,175.255006556,434.265126851,687.67418898,938.351111955,1128.56230025,1274.23614883,1366.95807138,1441.96761935,1542.70279058,1654.01382336,1764.24124108,1871.64416236,2215.83571267
"Global.cp total import to from[Maize, INDIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27034185338,7.61119169589,14.5537882974,20.7487558694,25.7158734024,31.3209744384,38.2021310982,55.7286794709
"Global.cp total import to from[Maize, INDIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[Maize, INDIA, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
